underlying,name,lot_size,expiries,inst_types,sample_symbol,fy_token
360ONE,360ONE 1500 CE,500,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:360ONE26NOV1680PE,101126112366589
ABB,ABB 4400 CE,125,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:ABB26NOV11200PE,101126112366916
ABCAPITAL,ABCAPITAL 505 CE,3100,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:ABCAPITAL26NOV600PE,101126112367321
ADANIENSOL,ADANIENSOL 920 CE,675,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:ADANIENSOL26NOV2320PE,101126112367642
ADANIENT,ADANIENT 3950 CE,309,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:ADANIENT26NOV4400PE,101126112367942
ADANIGREEN,ADANIGREEN 940 CE,600,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:ADANIGREEN26NOV2000PE,101126112368184
ADANIPORTS,ADANIPORTS 2440 CE,475,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:ADANIPORTS26NOV2400PE,101126112368659
ADANIPOWER,ADANIPOWER 275 CE,3550,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:ADANIPOWER26NOV320PE,101126112368835
ALKEM,ALKEM 2900 CE,125,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:ALKEM26NOV7800PE,101126112369226
AMBER,AMBER 5000 CE,100,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:AMBER26NOV11200PE,101126112369469
AMBUJACEM,AMBUJACEM 250 CE,1200,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:AMBUJACEM26NOV600PE,101126112369958
ANGELONE,ANGELONE 195 CE,2500,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:ANGELONE26NOV480PE,101126112370371
APLAPOLLO,APLAPOLLO 2700 CE,350,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:APLAPOLLO26NOV2880PE,101126112370723
APOLLOHOSP,APOLLOHOSP 5200 CE,125,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:APOLLOHOSP26NOV12400PE,101126112371007
ASHOKLEY,ASHOKLEY 100 CE,5000,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:ASHOKLEY26NOV230PE,101126112371173
ASIANPAINT,ASIANPAINT 3400 CE,250,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:ASIANPAINT26NOV3840PE,101126112371682
ASTRAL,ASTRAL 2020 CE,425,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:ASTRAL26NOV2240PE,101126112372105
ATHERENERG,ATHERENERG 1900 CE,375,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:ATHERENERG26NOV2160PE,101126112373150
AUBANK,AUBANK 600 CE,1000,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:AUBANK26NOV1600PE,101126112373535
AUROPHARMA,AUROPHARMA 1980 CE,550,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:AUROPHARMA26NOV2320PE,101126112373949
AXISBANK,AXISBANK 1660 CE,625,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:AXISBANK26NOV1920PE,101126112374258
BAJAJ-AUTO,BAJAJ-AUTO 14800 CE,75,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:BAJAJ-AUTO26NOV16400PE,101126112374984
