symbol,total_oi,total_volume,strikes_with_oi,avg_bid_ask_spread,liquidity_score
IDEA,2955134120,2840559450,12,0.26,2034251680.57
YESBANK,659880100,2130132300,11,0.45,903013701.79
HDFCBANK,247918500,579129850,21,1.05,272932071.98
SUZLON,252895100,179641500,17,2.0,155069971.73
ONGC,85965700,336935250,20,0.96,135492012.17
TATASTEEL,175582000,171996000,20,0.55,121860592.81
IDFCFIRSTB,220373940,108582425,21,0.83,120751260.95
JIOFIN,130826950,157769600,20,0.88,99687261.49
ASHOKLEY,117440000,155480000,19,0.52,93648357.61
PNB,109112000,153280000,21,0.35,89663552.46
CANBK,155182500,73156500,17,0.49,84046879.91
RELIANCE,106495000,127595000,21,0.91,80902944.65
ITC,127905285,96924300,19,0.63,80266176.02
KOTAKBANK,103626000,119126000,21,1.32,77212958.73
WIPRO,125124000,77223000,18,0.7,73241544.86
ETERNAL,88442250,124761400,19,0.85,72830151.8
SBIN,89686500,99897000,21,1.41,65868225.26
ADANIPOWER,100227150,81174300,17,0.48,64470316.36
TMPV,74516800,88651200,20,0.87,56427761.82
NMDC,100163250,50706000,20,0.91,55302557.03
UNIONBANK,83482035,70804425,19,0.57,54661762.19
SAGILITY,80088000,74664000,16,0.22,54472354.67
BANKBARODA,89741925,54141750,18,1.09,52161851.35
INDUSTOWER,27043600,137349800,22,1.41,52047893.47
COALINDIA,66825000,73125450,21,1.31,48692410.62
BIOCON,43415000,102322500,20,1.6,48085858.0
VEDL,56174050,83040350,19,0.43,47412014.36
PAYTM,24563720,123264500,21,3.63,46827213.07
NATIONALUM,46794385,86405625,18,0.92,44662821.06
INFY,59060000,68073600,19,1.93,44067651.74
BHEL,50426240,79214625,21,1.0,43960828.17
GMRAIRPORT,90479700,23491800,21,1.08,43265009.16
IRFC,86208715,29115975,20,0.79,43244535.95
IOC,66953300,53634750,18,0.74,42896371.28
ICICIBANK,46532500,75840100,21,1.54,41389264.75
BEL,71386815,41866500,21,1.29,41139531.33
HINDZINC,41166120,81645025,21,1.4,40984514.22
MOTHERSON,66413850,45823650,19,0.78,40337926.39
POWERGRID,51047300,62901400,21,1.05,39315046.41
SWIGGY,64521055,44179600,20,1.4,39085848.1
NHPC,62014850,45307050,20,2.13,38420392.23
ANGELONE,40732500,64587500,19,0.87,35693959.13
BANKINDIA,63117600,27684800,16,0.93,33573789.18
IREDA,69241625,18493675,16,0.82,33266798.02
IEX,54240150,38458350,15,0.52,33257960.18
NBCC,54775500,32084000,15,0.78,31556691.95
TATAPOWER,56606550,21312100,21,1.3,29061080.72
NTPC,50520000,28503000,20,1.31,28782687.14
KALYANKJIL,35307900,47969550,23,0.92,28542379.41
RVNL,49485965,21533050,17,1.15,26275592.85
