symbol,total_oi,total_volume,strikes_with_oi,avg_bid_ask_spread,liquidity_score
IDEA,2955134120,2840559450,12,0.26,2034251680.57
YESBANK,659880100,2130132300,11,0.45,903013701.79
HDFCBANK,247918500,579129850,21,1.05,272932071.98
SUZLON,252895100,179641500,17,2.0,155069971.73
ONGC,85965700,336935250,20,0.96,135492012.17
TATASTEEL,175582000,171996000,20,0.55,121860592.81
IDFCFIRSTB,220373940,108582425,21,0.83,120751260.95
JIOFIN,130826950,157769600,20,0.88,99687261.49
ASHOKLEY,117440000,155480000,19,0.52,93648357.61
PNB,109112000,153280000,21,0.35,89663552.46
CANBK,155182500,73156500,17,0.49,84046879.91
RELIANCE,106495000,127595000,21,0.91,80902944.65
ITC,127905285,96924300,19,0.63,80266176.02
KOTAKBANK,103626000,119126000,21,1.32,77212958.73
WIPRO,125124000,77223000,18,0.7,73241544.86
ETERNAL,88442250,124761400,19,0.85,72830151.8
SBIN,89686500,99897000,21,1.41,65868225.26
ADANIPOWER,100227150,81174300,17,0.48,64470316.36
TMPV,74516800,88651200,20,0.87,56427761.82
NMDC,100163250,50706000,20,0.91,55302557.03
UNIONBANK,83482035,70804425,19,0.57,54661762.19
SAGILITY,80088000,74664000,16,0.22,54472354.67
BANKBARODA,89741925,54141750,18,1.09,52161851.35
INDUSTOWER,27043600,137349800,22,1.41,52047893.47
COALINDIA,66825000,73125450,21,1.31,48692410.62
BIOCON,43415000,102322500,20,1.6,48085858.0
VEDL,56174050,83040350,19,0.43,47412014.36
PAYTM,24563720,123264500,21,3.63,46827213.07
NATIONALUM,46794385,86405625,18,0.92,44662821.06
INFY,59060000,68073600,19,1.93,44067651.74
BHEL,50426240,79214625,21,1.0,43960828.17
GMRAIRPORT,90479700,23491800,21,1.08,43265009.16
IRFC,86208715,29115975,20,0.79,43244535.95
IOC,66953300,53634750,18,0.74,42896371.28
ICICIBANK,46532500,75840100,21,1.54,41389264.75
BEL,71386815,41866500,21,1.29,41139531.33
HINDZINC,41166120,81645025,21,1.4,40984514.22
MOTHERSON,66413850,45823650,19,0.78,40337926.39
POWERGRID,51047300,62901400,21,1.05,39315046.41
SWIGGY,64521055,44179600,20,1.4,39085848.1
NHPC,62014850,45307050,20,2.13,38420392.23
ANGELONE,40732500,64587500,19,0.87,35693959.13
BANKINDIA,63117600,27684800,16,0.93,33573789.18
IREDA,69241625,18493675,16,0.82,33266798.02
IEX,54240150,38458350,15,0.52,33257960.18
NBCC,54775500,32084000,15,0.78,31556691.95
TATAPOWER,56606550,21312100,21,1.3,29061080.72
NTPC,50520000,28503000,20,1.31,28782687.14
KALYANKJIL,35307900,47969550,23,0.92,28542379.41
RVNL,49485965,21533050,17,1.15,26275592.85
FEDERALBNK,42705000,28927500,19,1.5,25782569.94
AXISBANK,29607510,45752500,19,4.96,25588760.54
PFC,50562200,17228900,20,1.26,25417473.77
BHARTIARTL,35032660,37254250,20,5.33,25210274.54
MAHABANK,43004000,26234000,19,1.32,25094564.12
INOXWIND,61088000,864000,16,7.3,24711083.7
HDFCLIFE,36685000,32690900,21,1.47,24505656.0
VMM,48102300,15326000,17,0.6,23863924.87
RBLBANK,39138240,27127200,21,1.68,23817406.68
BANDHANBNK,51631200,8632800,14,7.23,23257010.49
HINDALCO,22782900,46050200,17,2.14,22947547.88
GAIL,40601350,20771050,19,0.86,22496600.39
LTF,33952500,27987750,20,0.79,22003548.39
LICHSGFIN,15627000,48431000,18,1.71,20801009.8
HINDPETRO,22032010,39841875,20,1.19,20789541.87
DRREDDY,12579375,50801875,21,3.05,20294948.4
DLF,17372650,43647750,19,3.96,20063644.19
BPCL,21592670,37288000,19,1.1,19846977.85
BAJFINANCE,26362500,30930750,21,3.05,19846860.32
BSE,16037000,43774200,15,8.81,19562627.11
LICI,32027800,21651000,21,2.1,19329785.66
RECLTD,36067510,15970500,18,1.11,19240631.96
LODHA,11436875,46354375,20,6.26,18501860.27
ABCAPITAL,23718100,28600600,19,1.62,18089485.51
LAURUSLABS,17432650,36232950,19,3.85,17863240.78
CROMPTON,35060050,9797550,18,2.05,16983714.48
OIL,12191200,37942800,21,1.65,16283329.89
SHRIRAMFIN,22853335,19153200,18,5.33,14906229.99
COCHINSHIP,7754800,36282400,20,5.71,14007514.34
MANAPPURAM,31710000,594000,18,11.61,12880630.2
SAIL,30507700,1160900,19,10.77,12570813.74
DABUR,24871250,8275000,18,1.5,12452300.85
TCS,14751450,21032550,21,6.61,12232100.48
AMBUJACEM,20408400,13267200,20,1.36,12167172.97
ADANIENT,12320141,23045838,20,9.79,11862317.94
COFORGE,14145025,18023400,21,8.69,11086604.45
TECHM,10943400,22162200,19,3.5,11046445.01
ADANIPORTS,15344415,16126250,20,5.25,10996590.71
INDIANB,13357000,17131000,19,5.28,10502044.51
DELHIVERY,16656010,12215525,20,2.6,10348979.97
AUBANK,14907000,14149000,19,4.64,10227575.77
NYKAA,14400000,12887500,18,1.58,9647385.34
CDSL,13863355,13319950,20,6.75,9562067.06
SUNPHARMA,13245750,13329050,20,5.83,9317870.61
JSWSTEEL,13120650,13198950,18,5.57,9226840.7
CGPOWER,13447850,12648000,17,4.64,9191616.26
HCLTECH,9612800,17568000,21,2.48,9138531.11
MCX,10680745,15899850,20,13.19,9062631.86
GODREJPROP,4413175,24198850,21,4.46,9047042.5
SBICARD,14445600,10431200,21,1.9,8931217.8
